,시간,배정 (MIN),구분,세션명 및 주요 내용,관련 키워드,
2월 27일 (금)-Day1,15:30 - 16:00,30,Registration,비오토피아 입구,,15:30
,15:30 - 16:30,60,Welcome Reception (Standing),연회장 포이어,,15:30
,16:40 - 16:50,10,Opening Remarks,메인홀,,16:40
,16:50 - 17:15,25,Keynote Address,이동훈 SK 바이오팜 대표,,16:50
,17:15 - 17:40,25,Fireside Chat,존림 삼성바이오로직스 대표,,17:15
,17:40 - 18:30,50,Member Introduction,참석자 소개,,17:40
,18:30 - 20:00,90,Gala Dinner,코스디너,,18:30
,20:00 - 22:00,120,Networking Night,W22 (타운하우스) · Casual Networking & Drinks,,20:00
2월 28일 (토)-Day2,07:30 - 08:50,80,  Breakfast,Breakfast,,07:30
,08:50 - 09:00,10,  Opening Remarks,  Agenda & Flow 소개,최윤정 본부장,08:50
,09:00 - 09:30,30,  Featured Talk,"  License & Licensibility:
  ","파트너십 / R&D
윤태영대표",09:00
,09:30 - 10:10,40,  Session 1, 재무적 생존 전략 ,자금 조달,09:30
,10:10 - 10:30,20,  Break,  Morning Coffee Break,-,10:10
,10:30 - 11:10,40,  Session 2A,  전략적 딜-메이킹 I: Asset Deal,파트너십,10:30
,11:10 - 11:40,30,  Session 2B,  전략적 딜-메이킹 II: Platform Deal ,파트너십,11:10
,11:40 - 12:50,70,  Lunch,  Networking Luncheon,-,11:40
,12:50 - 13:10,20, R&D Talk, R&D Portfolio,"R&D
최영기 연구소장",12:50
,13:10 - 13:40,30,  Session 3,"What to keep within company and what to outsource?
""더 효율적인 회사 운영을 가능하게 하는 방법""",조직 운영,13:10
,13:40 - 14:30,50,  Session 4," Macro View on AI :
 ""AI를 바라보는 CEO의 관점은 어떻게 달라야 하는가?""",조직 운영,13:40
,14:30 - 15:00,30,  Break,  Afternoon Refresh,-,14:30
,15:00 - 15:40,40,  Session 5," Resilient Leadership:
 ""답이 없는 상황에서, 리더는 무엇으로 조직을 이끄는가?"" ",CEO 리더십,15:00
,15:40 - 16:30,50,  Session 6," Human Capital & Org Redesign:
 ""사람을 지키는 결정과 회사를 살리는 결정은 언제 충돌하는가?""(CEO-focused)",CEO 리더십,15:40
,16:30 - 16:50,20, Special Talk,"한국 바이오의 미래 로드맵:
국가위원회 정책 방향과 Flagship Pioneering 인사이트","
이병건 특별고문",16:30
,16:50 - 17:20,30,  Discussion,  자유 토론 ,자유 토론,16:50
,17:20 - 17:30,10,  Closing Remarks,  The Next Chapter,최윤정 본부장,17:20
,18:00 - 20:00,120,Dinner at Podo Hotel,포도호텔 레스토랑 · 담코스 / 오름코스,,18:00
,20:00 - 22:00,120,Post-Event Gathering,W22 (타운하우스) · Casual Gathering,,20:00
3월 1일 (일)-Day3,07:30 - 09:30,120,  Breakfast,디아넥스호텔 ,,7:30
